Sl. No.,Members                 ,Portfolios Held
1      ,Jawaharlal Nehru        ,External Affairs \& Commonwealth Relations
2      ,Sardar Vallabhbhai Patel,Home Information \& Broadcasting
3      ,Dr. Rajendra Prasad     ,Food \& Agriculture
4      ,Dr. John Mathai         ,Industries \& Supplies
5      ,Jagjivan Ram            ,Labor
6      ,Sardar Baldev Singh     ,Defense
7      ,C.H. Bhabha             ,Works Mines \& Power
8      ,Liaquat Ali Khan        ,Finance
9      ,Abdur Rab Nishtar       ,Posts \& Air
10     ,Asaf Ali                ,Railways \& Transport
11     ,C. Rajagopalachari      ,Education \& Arts
12     ,I.I. Chundrigar         ,Commerce
13     ,Ghaznafar Ali Khan      ,Health
14     ,Joginder Nath Mandal    ,Law
